"Style","Price","Rating","Size","Season","NeckLine","SleeveLength","waiseline","Material","FabricType","Decoration","Pattern","Class"
"casual","low",5,"free","spring","v-neck","full","natural","cotton","chiffon","pockets","solid","2"
"sexy","medium",5,"m","winter","o-neck","sleevless","empire","polyster","chiffon","bow","solid","1"
"party","average",4.4,"free","autumn","v-neck","threequarter","natural","cotton","chiffon","ruffles","solid","1"
"bohemian","low",4.6,"free","summer","v-neck","sleevless","natural","cotton","broadcloth","beading","solid","1"
"sexy","average",5,"s","summer","v-neck","sleevless","empire","cotton","batik","sashes","patchwork","2"
"casual","average",4.4,"free","summer","slash-neck","sleevless","empire","cotton","chiffon","sashes","solid","2"
"party","high",4.6,"l","spring","slash-neck","sleevless","empire","silk","chiffon","beading","solid","1"
"party","average",4.9,"m","winter","o-neck","halfsleeve","empire","cotton","chiffon","lace","patchwork","2"
"casual","low",4.8,"free","spring","o-neck","full","natural","cotton","worsted","sashes","patchwork","1"
"work","average",4.9,"m","summer","sqare-collor","halfsleeve","empire","polyster","sattin","sashes","dot","1"
"casual","low",4.4,"free","summer","o-neck","full","natural","cotton","chiffon","pockets","solid","1"
"casual","average",4,"free","winter","o-neck","halfsleeve","empire","polyster","chiffon","hollowout","solid","1"
"party","very-high",4.1,"m","winter","scoop","short","natural","cotton","lace","applique","solid","2"
"cute","average",4.7,"m","summer","o-neck","sleevless","natural","chiffonfabric","chiffon","sashes","splice","1"
"sexy","low",4.4,"free","summer","bowneck","sleevless","natural","viscos","chiffon","bow","solid","1"
"cute","average",4.3,"m","summer","o-neck","full","natural","cotton","chiffon","ruffles","solid","1"
"party","average",4.8,"free","winter","o-neck","sleevless","empire","spandex","chiffon","embroidary","solid","2"
"casual","low",5,"m","spring","o-neck","sleeevless","natural","chiffonfabric","chiffon","lace","solid","2"
"casual","average",4.1,"free","spring","o-neck","sleevless","natural","microfiber","chiffon","applique","solid","1"
"casual","average",4.3,"free","summer","o-neck","sleevless","natural","cotton","worsted","lace","striped","1"
"vintage","average",4.6,"free","winter","o-neck","full","natural","cotton","chiffon","applique","print","2"
"work","medium",4.6,"l","winter","sqare-collor","short","empire","cotton","chiffon","tiered","solid","1"
"sexy","low",4.3,"m","autumn","open","short","natural","lace","broadcloth","lace","print","1"
"brief","average",4.8,"free","winter","v-neck","halfsleeve","natural","polyster","broadcloth","sashes","solid","1"
"cute","average",5,"xl","spring","boat-neck","full","empire","cotton","worsted","applique","dot","2"
"party","medium",4.8,"m","spring","o-neck","sleevless","natural","silk","chiffon","crystal","print","2"
"casual","average",4,"free","winter","o-neck","short","natural","polyster","chiffon","cascading","solid","1"
"casual","average",4.5,"l","summer","o-neck","short","natural","cotton","jersey","pockets","solid","1"
"sexy","low",5,"m","autumn","o-neck","full","natural","polyster","chiffon","lace","print","2"
"casual","average",4.8,"free","summer","o-neck","sleevless","natural","cotton","chiffon","lace","floral","1"
"casual","average",4.5,"l","spring","boat-neck","thressqatar","natural","cotton","dobby","lace","animal","2"
"party","very-high",4.8,"free","spring","sweetheart","sleevless","natural","polyster","chiffon","beading","solid","2"
"cute","medium",4.6,"free","spring","o-neck","short","natural","chiffonfabric","chiffon","hollowout","solid","2"
"party","very-high",4.6,"free","summer","o-neck","sleevless","empire","rayon","chiffon","hollowout","solid","1"
"casual","low",4.8,"m","winter","v-neck","sleevless","natural","polyster","chiffon","ruffles","print","1"
"casual","low",4.4,"free","summer","o-neck","full","natural","cotton","chiffon","ruffles","solid","2"
"brief","low",4.4,"l","autumn","o-neck","halfsleeve","natural","rayon","chiffon","sashes","solid","1"
"casual","medium",4.9,"l","winter","o-neck","short","natural","cotton","broadcloth","sashes","solid","1"
"sexy","average",4.5,"l","autumn","v-neck","sleevless","empire","spandex","chiffon","sashes","patchwork","1"
"party","average",5,"m","summer","o-neck","full","natural","cotton","jersey","lace","patchwork","2"
"vintage","average",5,"l","summer","sqare-collor","short","empire","cotton","chiffon","applique","dot","2"
"sexy","average",5,"m","autumn","o-neck","sleevless","empire","milksilk","batik","sequined","dot","2"
"casual","low",4.8,"free","spring","o-neck","sleevless","natural","cotton","chiffon","rivet","print","1"
"work","average",4.7,"m","spring","v-neck","sleevless","natural","cotton","batik","tiered","striped","2"
"casual","average",4.8,"m","spring","o-neck","sleevless","natural","cotton","chiffon","hollowout","print","1"
"casual","medium",4,"m","autumn","v-neck","short","empire","polyster","batik","sashes","solid","1"
"work","average",4.8,"l","winter","v-neck","short","natural","mix","broadcloth","lace","solid","1"
"casual","average",4.5,"m","spring","v-neck","short","empire","cotton","batik","button","solid","2"
"casual","low",4.8,"xl","summer","o-neck","short","empire","mix","chiffon","sashes","geometric","1"
"sexy","average",4.6,"free","autumn","v-neck","sleevless","natural","polyster","chiffon","lace","patchwork","1"
"sexy","average",4.1,"free","summer","v-neck","sleevless","natural","cotton","chiffon","lace","solid","2"
"casual","low",4.5,"free","summer","o-neck","full","natural","cotton","chiffon","button","solid","1"
"casual","average",5,"free","summer","v-neck","sleevless","natural","cotton","chiffon","none","patchwork","1"
"cute","average",4.6,"free","spring","v-neck","full","natural","cotton","chiffon","none","solid","2"
"party","average",4.6,"m","winter","o-neck","sleevless","natural","cotton","batik","lace","solid","2"
"casual","average",4.8,"m","summer","v-neck","full","natural","cotton","shiffon","lace","patchwork","1"
"party","average",4.6,"m","spring","v-neck","sleevless","natural","cotton","chiffon","lace","striped","2"
"bohemian","average",4.1,"free","summer","o-neck","thressqatar","empire","cotton","sattin","hollowout","solid","1"
"party","average",4.7,"free","winter","o-neck","sleevless","empire","polyster","chiffon","beading","print","1"
"sexy","low",4.8,"free","spring","v-neck","sleevless","empire","cotton","batik","sequined","solid","2"
"vintage","average",4.8,"m","summer","o-neck","short","empire","cotton","jersey","beading","animal","2"
"casual","average",5,"free","spring","o-neck","short","natural","cotton","chiffon","lace","leopard","2"
"vintage","average",4.8,"m","winter","o-neck","sleevless","natural","cotton","tulle","applique","patchwork","2"
"casual","medium",4.4,"free","winter","bowneck","full","natural","cashmere","knitted","applique","solid","2"
"casual","low",4.3,"m","summer","o-neck","sleevless","natural","cotton","chiffon","lace","solid","1"
"casual","average",4.5,"m","summer","peterpan-collor","sleevless","empire","cotton","chiffon","applique","patchwork","1"
"sexy","low",4.8,"m","autumn","v-neck","full","natural","cotton","chiffon","hollowout","print","2"
"cute","average",4.8,"m","summer","o-neck","short","natural","cotton","chiffon","rivet","solid","1"
"casual","average",4.8,"free","summer","o-neck","sleevless","natural","cotton","chiffon","sashes","solid","1"
"bohemian","low",4.8,"free","summer","o-neck","short","natural","cotton","other","sashes","animal","2"
"cute","average",4.6,"m","spring","o-neck","halfsleeve","natural","acrylic","chiffon","button","solid","1"
"party","very-high",4.4,"l","winter","v-neck","sleevless","natural","polyster","tulle","beading","solid","1"
"sexy","low",4.4,"free","autumn","v-neck","sleevless","natural","cotton","worsted","lace","solid","1"
"sexy","average",4.3,"free","spring","v-neck","full","natural","cotton","wollen","lace","solid","2"
"casual","low",4.1,"free","winter","o-neck","halfsleeve","natural","polyster","worsted","sequined","patchwork","2"
"novelty","average",4.6,"free","winter","o-neck","short","natural","polyster","broadcloth","lace","animal","2"
"sexy","low",4.7,"m","winter","o-neck","threequarter","natural","other","chiffon","lace","print","2"
"casual","very-high",4.1,"small","spring","o-neck","full","empire","acrylic","chiffon","applique","solid","1"
"sexy","low",4.4,"free","winter","o-neck","sleevless","natural","lycra","chiffon","hollowout","solid","1"
"casual","low",4.8,"l","winter","o-neck","sleevless","empire","polyster","chiffon","ruffles","leopard","1"
"casual","average",4.3,"m","spring","o-neck","halfsleeve","empire","cotton","chiffon","sashes","print","2"
"casual","high",4.6,"m","summer","sweetheart","sleevless","empire","silk","sattin","beading","patchwork","2"
"casual","average",4.7,"l","autumn","o-neck","halfsleeve","natural","milksilk","worsted","lace","animal","1"
"vintage","low",4.6,"m","summer","o-neck","short","natural","cotton","chiffon","beading","print","1"
"bohemian","low",5,"free","summer","o-neck","sleevless","empire","cotton","broadcloth","tassel","print","2"
"cute","low",4.3,"free","autumn","o-neck","sleevless","natural","polyster","chiffon","sashes","striped","1"
"sexy","low",4,"free","autumn","slash-neck","short","empire","chiffonfabric","batik","hollowout","solid","1"
"cute","low",4.8,"free","summer","boat-neck","sleevless","natural","cotton","batik","pockets","print","1"
"sexy","average",4.9,"free","summer","sqare-collor","sleevless","natural","polyster","batik","sashes","print","1"
"casual","low",4.5,"free","autumn","peterpan-collor","threequarter","empire","cotton","chiffon","crystal","geometric","1"
"casual","low",4.6,"free","autumn","o-neck","full","natural","cotton","chiffon","ruffles","solid","2"
"sexy","average",5,"m","summer","o-neck","sleeveless","natural","polyster","broadcloth","rivet","solid","1"
"casual","average",4.4,"l","autumn","o-neck","sleevless","natural","linen","chiffon","ruffles","animal","1"
"casual","low",5,"m","autumn","o-neck","sleevless","empire","silk","chiffon","bow","print","2"
"vintage","average",4.3,"free","winter","o-neck","short","natural","chiffonfabric","chiffon","applique","print","1"
"cute","average",4.4,"free","spring","sweetheart","sleevless","empire","spandex","tulle","ruched","solid","2"
"casual","average",4.7,"l","summer","v-neck","short","natural","cotton","broadcloth","beading","print","2"
"casual","average",5,"l","spring","boat-neck","sleevless","natural","cotton","chiffon","lace","solid","2"
"cute","average",4.7,"m","spring","o-neck","full","natural","rayon","chiffon","beading","solid","2"
"party","average",4.1,"m","spring","o-neck","sleevless","natural","cotton","chiffon","lace","solid","2"
"work","average",4.9,"m","winter","slash-neck","short","natural","polyster","broadcloth","ruffles","solid","1"
"casual","low",4.7,"l","autumn","o-neck","full","natural","cotton","chiffon","lace","print","1"
"casual","average",4.7,"xl","winter","v-neck","short","empire","milksilk","shiffon","sequined","print","1"
"casual","average",4.3,"m","autumn","o-neck","sleevless","natural","polyster","batik","plain","solid","1"
"cute","low",4.7,"m","spring","o-neck","short","empire","polyster","chiffon","ruffles","dot","2"
"casual","average",4.7,"m","spring","o-neck","sleevless","natural","cotton","chiffon","sashes","solid","1"
"casual","low",4.8,"free","summer","o-neck","sleevless","natural","cotton","chiffon","ruffles","print","2"
"casual","average",4.7,"m","summer","o-neck","sleevless","natural","cotton","chiffon","applique","dot","1"
"casual","average",5,"free","winter","o-neck","sleevless","natural","polyster","broadcloth","lace","solid","2"
"sexy","low",5,"free","summer","v-neck","sleevless","empire","cotton","chiffon","pockets","animal","2"
"casual","low",5,"free","summer","o-neck","sleevless","natural","model","jersey","plain","solid","2"
"casual","average",4.6,"m","spring","o-neck","halfsleeve","natural","polyster","chiffon","lace","solid","1"
"novelty","average",4.9,"l","autumn","o-neck","short","natural","polyster","chiffon","rivet","print","2"
"casual","average",4.7,"m","summer","v-neck","full","empire","cotton","batik","lace","solid","2"
"brief","average",4.7,"m","winter","o-neck","halfsleeve","natural","acrylic","chiffon","ruffles","striped","1"
"party","very-high",4.5,"m","spring","v-neck","cap-sleeves","empire","rayon","chiffon","lace","print","2"
"sexy","low",4.5,"l","spring","o-neck","sleevless","natural","cotton","chiffon","lace","solid","1"
"party","high",4.6,"m","summer","slash-neck","sleevless","natural","cotton","chiffon","button","striped","2"
"brief","average",4.6,"free","winter","o-neck","full","natural","mix","chiffon","sashes","solid","1"
"casual","average",4.8,"m","summer","o-neck","halfsleeve","natural","cotton","chiffon","ruffles","dot","2"
"sexy","average",5,"m","summer","v-neck","sleevless","empire","cotton","chiffon","sequined","solid","2"
"casual","high",5,"free","summer","v-neck","sleevless","natural","nylon","chiffon","sashes","animal","2"
"sexy","average",4.7,"s","summer","v-neck","sleevless","empire","cotton","chiffon","sequined","solid","2"
"casual","average",4.5,"free","summer","o-neck","short","natural","cotton","chiffon","hollowout","solid","2"
"work","low",4.5,"m","winter","v-neck","threequarter","natural","cotton","sattin","sequined","patchwork","1"
"casual","average",4.2,"free","summer","o-neck","sleevless","natural","cotton","worsted","bow","striped","2"
"casual","average",5,"s","winter","o-neck","sleevless","empire","polyster","chiffon","ruffles","plaid","1"
"casual","average",4.8,"free","winter","o-neck","sleevless","natural","polyster","chiffon","sashes","solid","1"
"bohemian","low",4.4,"l","summer","bowneck","short","natural","cotton","chiffon","beading","dot","1"
"casual","average",3.7,"free","autumn","boat-neck","full","empire","chiffonfabric","batik","embroidary","solid","2"
"casual","average",4.8,"m","winter","o-neck","short","natural","lycra","broadcloth","applique","patchwork","1"
"sexy","low",4.6,"m","summer","o-neck","sleevless","empire","cotton","chiffon","ruffles","animal","2"
"casual","low",4.7,"l","summer","o-neck","full","natural","mix","worsted","lace","patchwork","2"
"casual","low",4.4,"free","spring","v-neck","sleevless","natural","cotton","jersey","sashes","print","1"
"casual","low",4.7,"m","spring","o-neck","full","natural","polyster","chiffon","hollowout","solid","2"
"party","high",4.8,"m","summer","sweetheart","sleevless","princess","nylon","sattin","applique","animal","2"
"cute","average",4.3,"l","winter","o-neck","sleevless","natural","cashmere","chiffon","beading","solid","1"
"casual","low",5,"s","spring","o-neck","sleevless","natural","chiffonfabric","chiffon","ruffles","print","1"
"work","average",5,"free","winter","o-neck","half","empire","microfiber","worsted","applique","animal","1"
"cute","high",4,"m","spring","v-neck","full","natural","rayon","chiffon","applique","solid","2"
"casual","low",4.9,"l","summer","boat-neck","short","empire","cotton","chiffon","sequined","patchwork","2"
"bohemian","low",5,"free","spring","o-neck","short","natural","nylon","jersey","sashes","print","2"
"sexy","low",4.3,"free","summer","o-neck","full","empire","cotton","chiffon","lace","solid","1"
"casual","average",4.7,"m","summer","o-neck","thressqatar","empire","chiffonfabric","chiffon","ruched","solid","1"
"casual","low",4.8,"free","winter","bowneck","full","natural","polyster","chiffon","bow","solid","1"
"casual","very-high",4.6,"m","winter","o-neck","short","natural","cotton","chiffon","flowers","print","2"
"casual","low",4.7,"m","summer","o-neck","sleevless","empire","milksilk","chiffon","lace","solid","1"
"brief","low",4.6,"m","summer","o-neck","short","natural","cotton","chiffon","sashes","animal","1"
"sexy","average",4.7,"m","winter","v-neck","sleevless","natural","polyster","broadcloth","bow","patchwork","1"
"casual","low",4.6,"m","summer","o-neck","sleevless","natural","cotton","wollen","sashes","striped","1"
"vintage","average",4.9,"free","summer","o-neck","urndowncollor","empire","mix","wollen","feathers","print","1"
"vintage","average",4.7,"s","summer","turndowncollor","short","empire","cotton","chiffon","bow","animal","1"
"casual","average",4.7,"l","spring","v-neck","halfsleeve","natural","polyster","broadcloth","button","print","2"
"casual","average",4.7,"l","summer","o-neck","sleevless","natural","silk","chiffon","beading","solid","1"
"casual","low",4.6,"l","winter","o-neck","full","natural","cotton","chiffon","pearls","print","1"
"bohemian","average",4.7,"l","autumn","o-neck","sleevless","natural","cotton","chiffon","sashes","solid","1"
"casual","average",4.5,"m","summer","o-neck","full","natural","cotton","chiffon","lace","solid","1"
"work","average",5,"m","summer","o-neck","sleveless","natural","cotton","chiffon","lace","solid","2"
"casual","average",4.4,"m","spring","o-neck","halfsleeve","natural","cotton","chiffon","lace","patchwork","1"
"casual","average",5,"l","spring","o-neck","halfsleeve","natural","polyster","chiffon","hollowout","solid","2"
"bohemian","low",4.6,"free","winter","o-neck","sleevless","empire","polyster","broadcloth","hollowout","patchwork","2"
"casual","average",4.5,"free","summer","o-neck","short","natural","polyster","chiffon","button","solid","1"
"sexy","low",4,"s","autumn","o-neck","sleevless","empire","cotton","chiffon","feathers","solid","2"
"vintage","low",4,"free","summer","turndowncollor","short","natural","cotton","wollen","hollowout","solid","1"
"cute","average",5,"m","autumn","v-neck","sleevless","natural","cotton","chiffon","ruffles","solid","1"
"sexy","low",4,"free","winter","v-neck","sleevless","empire","cotton","chiffon","lace","solid","2"
"casual","average",5,"xl","winter","boat-neck","full","empire","cotton","chiffon","beading","geometric","2"
"casual","low",4.6,"free","summer","o-neck","full","natural","cotton","worsted","lace","solid","2"
"casual","average",5,"free","winter","v-neck","full","natural","chiffonfabric","chiffon","ruffles","print","1"
"cute","average",5,"m","summer","o-neck","short","natural","cotton","chiffon","sashes","print","1"
"brief","average",4.5,"m","winter","peterpan-collor","threequarter","natural","cotton","chiffon","sashes","patchwork","1"
"party","very-high",4.9,"m","spring","sweetheart","sleevless","natural","silk","chiffon","beading","solid","2"
"casual","average",4.6,"l","autumn","o-neck","sleevless","empire","polyster","chiffon","ruffles","solid","1"
"casual","average",4.5,"m","winter","v-neck","sleevless","natural","cotton","chiffon","button","striped","1"
"bohemian","average",5,"m","spring","slash-neck","sleevless","empire","polyster","chiffon","ruffles","solid","2"
"casual","low",4.4,"s","autumn","o-neck","sleevless","natural","polyster","batik","lace","solid","1"
"casual","low",4.3,"free","winter","boat-neck","full","natural","other","other","lace","solid","1"
"casual","average",4.8,"l","autumn","boat-neck","sleevless","natural","cotton","batik","sashes","solid","1"
"party","very-high",4.9,"m","spring","sweetheart","sleeevless","empire","polyster","chiffon","beading","solid","2"
"casual","low",4.7,"free","winter","o-neck","sleevless","natural","polyster","broadcloth","applique","print","2"
"casual","average",4.8,"l","winter","o-neck","short","natural","cotton","chiffon","pockets","solid","2"
"vintage","average",4,"free","summer","o-neck","sleevless","natural","cotton","worsted","applique","solid","1"
"vintage","medium",4.7,"s","winter","turndowncollor","halfsleeve","natural","cotton","broadcloth","applique","plaid","1"
"casual","low",4.7,"free","summer","o-neck","full","natural","cotton","chiffon","sequined","solid","2"
"vintage","average",4.5,"l","autumn","o-neck","sleevless","empire","cotton","worsted","applique","solid","1"
"casual","average",4.7,"m","summer","o-neck","sleevless","natural","polyster","worsted","lace","character","1"
"sexy","low",4.5,"free","summer","o-neck","sleevless","empire","cotton","chiffon","sashes","solid","2"
"casual","average",5,"free","summer","v-neck","sleevless","natural","modal","other","beading","patchwork","1"
"cute","average",4.3,"free","summer","boat-neck","sleevless","empire","nylon","broadcloth","hollowout","geometric","2"
"casual","average",4.4,"m","summer","o-neck","short","empire","mix","worsted","lace","patchwork","1"
"casual","low",4.6,"free","autumn","o-neck","full","natural","rayon","chiffon","lace","solid","2"
"casual","average",4.1,"l","winter","o-neck","sleevless","natural","polyster","batik","applique","solid","2"
"casual","low",4.4,"free","summer","v-neck","short","empire","cotton","corduroy","lace","solid","1"
"party","average",4.8,"l","autumn","sweetheart","sleevless","empire","silk","chiffon","pleat","print","2"
"casual","low",4.4,"l","summer","o-neck","sleevless","natural","cotton","chiffon","sequined","solid","1"
"casual","low",4.4,"free","spring","o-neck","sleevless","natural","polyster","chiffon","sashes","print","1"
"party","average",4.7,"m","spring","o-neck","halfsleeve","empire","silk","shiffon","applique","patchwork","1"
"casual","average",5,"m","winter","o-neck","sleevless","natural","cotton","chiffon","sashes","solid","2"
